t                            N(t)               C(t)

For case 1

0.0               100.0               6.0
0.1               130.19221128364305               65.04681376917917
0.2               27.245471098595257               354.0997427107913
0.3               0.850610846775926               410.85598060455
0.4               0.023191373164750343               408.6379906795623
0.5               0.0006553273723449986               404.62296472006875
0.6               1.928034914709513e-05               400.5983401141335
0.7               5.900375231901239e-07               396.61236244013065
0.8               1.8182786315341366e-08               392.6660046499377
0.9               7.321788680778494e-10               388.75891204091124
1.0               -4.960012196174468e-09               384.89069704172283
1.1               -2.5445822282585504e-10               381.0609702272219
1.2               -2.5232659977385864e-10               377.26934703253715
1.3               1.904965599386649e-09               373.51545884677967
1.4               4.9661309535702505e-09               369.7989214955788
1.5               1.5366410256516302e-09               366.1193605836373
1.6               5.4109864231032275e-11               362.47641124951286
1.7               -8.522843074119395e-10               358.86971278939797
1.8               -2.1839972017051193e-09               355.29889955917565
1.9               -1.1564818237955946e-10               351.76361596485333
2.0               -5.231208906384562e-10               348.26351098291093
2.1               -3.88434004378298e-10               344.7982312132571
2.2               5.755993971400408e-10               341.3674321992223
2.3               2.401488912088597e-10               337.97077068083195
2.4               9.622194708234665e-12               334.6079068005537
2.5               -8.059286351267699e-11               331.27850464085054
2.6               -3.955520745708118e-11               327.9822304438683
2.7               1.274001963745811e-11               324.7187542706982
2.8               5.0506459848425034e-11               321.48774978063716
2.9               4.0081509206677995e-11               318.2888927730073
3.0               -9.371154290508235e-11               315.1218646091356
3.1               -1.4679972032181223e-10               311.98634818460386
3.2               -7.725783080012594e-11               308.8820313727371
3.3               3.898317023516529e-11               305.80860318054823
3.4               1.6816431889223797e-10               302.7657566039217
3.5               1.620597101702591e-10               299.7531870108566
3.6               1.632095679055063e-10               296.77059321216234
3.7               1.593647825926145e-10               293.8176767358479
3.8               1.259531827933773e-10               290.89414212977766
3.9               7.888959383988205e-11               287.9996971319504
4.0               2.6422801637031034e-11               285.1340522662015
4.1               -1.6807071629448458e-11               282.2969208508086
4.2               -2.971417647900463e-11               279.4880193407266
4.3               -1.4233267202512911e-11               276.7070668676501
4.4               -1.566947549602402e-12               273.95378521660854
4.5               7.80215845822882e-12               271.22789935291917
4.6               1.9088369007897026e-11               268.52913632209874
4.7               1.4916472761249617e-11               265.85722654128716
4.8               6.685879745476579e-12               263.2119025809852
4.9               2.586768253126434e-12               260.59289980914116
5.0               -4.597128874403806e-12               257.9999565863114
5.1               -8.870101395398113e-12               255.4328137583657
5.2               -1.3877815616368527e-11               252.8912146383412
5.3               -3.4496844773328916e-11               250.3749049354361
5.4               -4.8257939662101705e-11               247.88363310651695
5.5               -3.945752883455996e-11               245.41714992698198
5.6               -2.0692866117380136e-12               242.9752086931454
5.7               2.436903648078706e-13               240.55756568524015
5.8               2.777064031739083e-12               238.16397872266595
5.9               5.696482851751767e-12               235.7942082450265
6.0               9.42355468044981e-12               233.4480169969621
6.1               1.0840389952993538e-11               231.1251711990748
6.2               1.1318963871573808e-11               228.82543803257394
6.3               1.0943302378445946e-11               226.54858742818317
6.4               1.0019712090766398e-11               224.29439158306616
